project,release,file,total_lines,total_comments,normal_comments,commented_out_code
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/types.ts,79,0,0,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/index.ts,164,3,2,1
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/system/TestOut.ts,36,1,1,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/system/FileSystemResolver.ts,31,0,0,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/system/StdOut.ts,40,1,1,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/system/TestResolver.ts,60,6,6,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/api/api.ts,221,1,0,1
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/api/TestAuthServer.ts,10,0,0,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/api/GraphcoolAuthServer.ts,56,0,0,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/utils/constants.ts,149,21,16,5
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/utils/file.ts,71,2,2,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/utils/usage.ts,95,0,0,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/utils/system.ts,7,0,0,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/utils/utils.ts,29,15,1,14
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/commands/endpoints.ts,42,2,2,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/commands/console.ts,47,2,2,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/commands/push.ts,110,6,6,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/commands/export.ts,62,2,2,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/commands/projects.ts,33,0,0,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/commands/init.ts,90,2,2,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/commands/interactiveInit.ts,115,0,0,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/commands/pull.ts,105,3,3,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/src/commands/auth.ts,34,0,0,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/tests/push.test.ts,92,13,13,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/tests/pull.test.ts,185,23,23,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/tests/auth.test.ts,77,11,11,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/tests/export.test.ts,58,8,8,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/tests/init.test.ts,137,21,21,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/tests/mock_data/mockData.ts,250,2,2,0
prisma,v0.0.3,/home/vitormelo/poc/scrapper/repos/prisma/tests/mock_data/schemas.ts,26,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/requests.js,40,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/test/init.js,5,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/BufferedConsole.ts,37,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/getConsoleOutput.ts,32,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/index.ts,163,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/examples.ts,197,7,7,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/LocalInvoker.ts,94,2,2,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/util.ts,18,6,5,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/test/mock-requests.ts,86,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/errors/InvalidTargetError.ts,7,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/errors/ServiceDoesntExistError.ts,5,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/import/types.ts,17,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/import/Validator.test.ts,439,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/import/Importer.ts,195,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/import/Validator.ts,374,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/import/index.ts,52,1,0,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/import/Importer.describe.ts,23,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/import/fixtures/basic/makeData.ts,78,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/import/normalizers/Normalizer.ts,1,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/export/Exporter.describe.ts,13,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/export/index.ts,45,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/export/Exporter.ts,107,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/add-template/add-template.ts,299,12,5,7
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/add-template/getbin.ts,26,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/init/index.ts,247,15,2,13
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/init/index.test.ts,15,2,0,2
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/local/restart.ts,19,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/local/Docker.ts,181,5,1,4
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/local/up.test.ts,22,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/local/stop.ts,19,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/local/eject.ts,46,1,0,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/local/up.ts,77,2,0,2
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/local/pull.ts,19,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/local/ps.ts,19,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/local/nocks/up.ts,32,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/clusters/index.ts,64,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/console/index.ts,26,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/reset/reset.ts,35,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/playground/index.ts,36,2,0,2
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/info/index.ts,59,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/account/index.ts,13,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/list/index.ts,13,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/invoke/local.ts,183,4,3,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/example-command/index.ts,18,1,0,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/root-token/index.ts,63,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/auth/index.ts,41,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/index.ts,495,15,14,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/index.test.ts,39,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/emptyDefinition.ts,14,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/nocks/default_definition.ts,134,7,7,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/nocks/local_instance.ts,113,7,7,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/test-project/src/hello.js,7,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/Bundler/TypescriptBuilder.ts,64,4,1,3
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/Bundler/Bundler.ts,211,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/Bundler/proxies/byline.js,133,32,32,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/Bundler/proxies/lambda.js,74,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/deploy/Bundler/proxies/dev.js,119,5,2,3
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/delete/index.ts,87,0,0,0
